origin,activated_sellers,total_revenue,avg_ltv,median_ltv,avg_orders,avg_review,total_leads,total_converted,leads_per_activation,ltv_to_cac_index
other,2,6888.650000000001,3444.3250000000003,3444.3250000000003,44.5,3.980769230769231,150,4,75.0,45.92
unknown,85,214985.3,2529.2388235294115,511.94000000000005,15.188235294117646,4.283817776073865,1159,193,13.6,185.97
referral,9,17887.15,1987.4611111111112,1368.5,7.666666666666667,4.336459836459836,284,24,31.6,62.89
organic_search,113,207023.45,1832.06592920354,634.2,10.690265486725664,4.264444727860703,2296,271,20.3,90.25
paid_search,101,155277.05,1537.3965346534653,512.0,12.346534653465346,4.243089300672253,1586,195,15.7,97.92
email,6,8484.99,1414.165,338.2,3.6666666666666665,4.566666666666666,493,15,82.2,17.2
social,31,43477.99,1402.515806451613,722.2,12.64516129032258,4.2935926584481,1350,75,43.5,32.24
direct_traffic,31,21903.9,706.5774193548388,399.0,6.225806451612903,4.243895693534912,499,56,16.1,43.89
display,2,923.0,461.5,461.5,3.5,4.25,118,6,59.0,7.82
