origin,page_tier,leads,conversions,total_leads,pct_of_channel_traffic
direct_traffic,low_performer,151,7,499,30.3
direct_traffic,mid_performer,92,4,499,18.4
direct_traffic,top_performer,256,45,499,51.3
display,low_performer,58,2,118,49.2
display,mid_performer,15,0,118,12.7
display,top_performer,45,4,118,38.1
email,low_performer,322,7,493,65.3
email,mid_performer,124,4,493,25.2
email,top_performer,47,4,493,9.5
organic_search,low_performer,574,17,2296,25.0
organic_search,mid_performer,513,27,2296,22.3
organic_search,top_performer,1209,227,2296,52.7
other,low_performer,49,2,150,32.7
other,mid_performer,90,2,150,60.0
other,top_performer,11,0,150,7.3
other_publicities,low_performer,24,0,65,36.9
other_publicities,mid_performer,17,1,65,26.2
other_publicities,top_performer,24,2,65,36.9
paid_search,low_performer,407,30,1586,25.7
paid_search,mid_performer,302,25,1586,19.0
paid_search,top_performer,877,140,1586,55.3
referral,low_performer,87,5,284,30.6
referral,mid_performer,80,3,284,28.2
referral,top_performer,117,16,284,41.2
social,low_performer,245,9,1350,18.1
social,mid_performer,1025,59,1350,75.9
social,top_performer,80,7,1350,5.9
unknown,low_performer,281,33,1159,24.2
unknown,mid_performer,111,7,1159,9.6
unknown,top_performer,767,153,1159,66.2
