landing_page_id,total_leads,conversions,cvr,non_converted
30077c17f2ec5010a82e37ad8925b95f,48,10,20.83,38
40dec9f3d5259a3d2dbcdab2114fae47,330,67,20.3,263
22c29808c4f815213303f8933030604c,883,174,19.71,709
b76ef37428e6799c421989521c0e5077,912,171,18.75,741
d83b0d0e48c8447d1d5507a44027a955,34,6,17.65,28
7fa6214d82e911d070f51ef79381b956,68,11,16.18,57
ce1a65abd0973638f1c887a6efcfa82d,394,59,14.97,335
b48ec5f3b04e9068441002a19df93c6c,51,7,13.73,44
35c9b150ab36fe584c1f24fd458c453a,59,8,13.56,51
241f79c7a8fe0270f4fb79fcbbcd17ad,109,14,12.84,95
1ceb590cd1e00c7ee95220971f82693d,71,9,12.68,62
0218f6be0b76aca72ab4d00ee9e8cf10,48,6,12.5,42
4aab772aeb9833c170d8ea5413e02eac,32,4,12.5,28
a7982125ff7aa3b2054c6e44f9d28522,156,18,11.54,138
a0fbc0263cb98bdb0d72b9f9f283a172,36,4,11.11,32
b6885f18d203a61176418c1fb3764815,67,7,10.45,60
9fa37f5177115156b1814ffc237402a6,36,3,8.33,33
5dc848e7dd9418dffe183215b8ff0bc1,41,3,7.32,38
88740e65d5d6b056e0cda098e1ea6313,445,31,6.97,414
f017be4dbf86243af5c1ebed0cff36a2,310,21,6.77,289
649b7b8b46b254497e92038d88f6ced8,62,4,6.45,58
21a104c3279681d9856b8a48723c4fee,47,3,6.38,44
330b9d44078a1ae5a221d655dcb77afa,63,4,6.35,59
007f9098284a86ee80ddeb25d53e0af8,66,4,6.06,62
58326e62183c14b0c03085c33b9fdc44,495,27,5.45,468
65d9f9d71e562365e8b44037c2888d98,95,5,5.26,90
73f31a40697cc90a86c1273563ac230e,115,4,3.48,111
f98c2bd96ac4a5d9476734e790c91384,58,2,3.45,56
e492ee5eaf1697716985cc6f33f9cd9b,291,10,3.44,281
36120633c8737035fbabf079082f4ec1,59,2,3.39,57
4e82dd1f6d00626bda0723eef0a269a6,30,1,3.33,29
15cf89bab2c3163b4f9d8601d108f8b2,41,1,2.44,40
3cd2a8301d5395f21cdd3094c9eaa2f4,42,1,2.38,41
1722481ac9e5371e5099dea226b5421d,86,2,2.33,84
87732658ba41d8775e8577df347a64db,92,2,2.17,90
30534107aa0013db92899c96a1017d0b,37,0,0.0,37
bddebc4f4d44106c427bd00695840e64,32,0,0.0,32
c555aa36478386fdf85a2d0ca5cd0ff8,37,0,0.0,37
d45d558f0daeecf3cccdffe3c59684aa,32,0,0.0,32
ef0b482996664cc1107b9051efd3ca84,30,0,0.0,30
f80696b73d17fb34f5c4fde157f119d8,49,0,0.0,49
