channel,total_leads,conversions,cvr_pct,activated_sellers,total_revenue,avg_ltv,revenue_per_lead
unknown,1099,179,16.29,81,213742.7,194.49,194.49
organic_search,2296,271,11.8,113,207023.45,90.17,90.17
paid_search,1586,195,12.3,101,155277.05,97.9,97.9
social,1350,75,5.56,31,43477.99,32.21,32.21
direct_traffic,499,56,11.22,31,21903.9,43.9,43.9
referral,284,24,8.45,9,17887.15,62.98,62.98
email,493,15,3.04,6,8484.99,17.21,17.21
other,150,4,2.67,2,6888.65,45.92,45.92
,60,14,23.33,4,1242.6,20.71,20.71
display,118,6,5.08,2,923.0,7.82,7.82
other_publicities,65,3,4.62,0,0.0,0.0,0.0
