business_segment,total_sellers,activated_sellers,avg_ltv,median_ltv,total_revenue,avg_orders
watches,8,3,14659.86,0.0,117278.87,72.5
small_appliances,12,7,3972.91,282.94,47674.87,5.7
home_appliances,7,5,3748.74,573.5,26241.17,19.3
baby,10,6,1632.1,194.9,16320.96,4.1
pet,30,17,1349.96,104.85,40498.83,8.2
health_beauty,93,45,976.73,0.0,90835.82,7.6
air_conditioning,3,2,883.33,560.0,2650.0,1.3
audio_video_electronics,64,31,785.4,0.0,50265.34,3.9
books,9,4,783.86,0.0,7054.77,11.6
household_utilities,71,44,726.32,119.9,51568.76,7.1
home_office_furniture,14,3,707.18,0.0,9900.56,5.2
bed_bath_table,22,10,702.21,0.0,15448.53,7.5
sports_leisure,25,14,652.86,118.39,16321.52,6.7
music_instruments,9,4,648.85,0.0,5839.64,2.7
bags_backpacks,22,14,646.99,204.8,14233.7,6.1
