revenue_rank,seller_id,channel,business_segment,business_type,lead_type,total_orders,total_revenue,revenue_share_pct,cumulative_revenue_pct
1,4869f7a5dfa277a7dca6462dcf3b52b2,,,,,1132,229472.63,1.69,1.69
2,53243585a1d6dc2643021fd1853d8905,,,,,358,222776.05,1.64,3.33
3,4a3ca9315b744ce9f8e9374361493884,,,,,1806,200472.92,1.47,4.8
4,fa1c13f2614d7b5c4749cbc52fecda94,,,,,585,194042.03,1.43,6.23
5,7c67e1448b00f6e969d365cea6b010ab,,,,,982,187923.89,1.38,7.61
6,7e93a43ef30c4f03f38b393420bc753a,,,,,336,176431.87,1.3,8.91
7,da8622b14eb17ae2831f4ac5b9dab84a,,,,,1314,160236.57,1.18,10.09
8,7a67c85e85bb2ce8582c35f2203ad736,,,,,1160,141745.53,1.04,11.13
9,1025f0e2d44d7041d6cf58b6550e0bfa,,,,,915,138968.55,1.02,12.16
10,955fee9216a65b617aa5c0531780ce60,,,,,1287,135171.7,0.99,13.15
11,46dc3b2cc0980fb8ec44634e21d2718e,,,,,521,128111.19,0.94,14.09
12,6560211a19b47992c3666cc44a7e94c0,,,,,1854,123304.83,0.91,15.0
13,620c87c171fb2a6dd6e8bb4dec959fc6,,,,,740,114774.5,0.84,15.84
14,7d13fca15225358621be4086e1eb0964,unknown,watches,reseller,online_big,565,113628.97,0.84,16.68
15,5dceca129747e92ff8ef7a997dc4f8ca,,,,,325,112155.53,0.83,17.5
16,1f50f920176fa81dab994f9023523100,,,,,1404,106939.21,0.79,18.29
17,cc419e0650a3c5ba77189a1882b7556a,,,,,1706,104288.42,0.77,19.06
18,a1043bafd471dff536d0c462352beb48,,,,,718,101901.16,0.75,19.81
19,3d871de0142ce09b7081e2b9d1733cb1,,,,,1080,94914.2,0.7,20.51
20,edb1ef5e36e0c8cd84eb3c9b003e486d,,,,,166,79284.55,0.58,21.09
